Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code
									
SOM	SOMALIA	SOM							
SUR	SURINAME	SUR							
CVL	VILLAGER						CVL		
BMUEDU	BERMUDA	BMU					EDU		
BUS	COMPANY						BUS		
BUS	BUSINESS						BUS		
BUS	BUSINESS						BUS		
BUS	COMPANY						BUS		
BUS	BUSINESS						BUS		
CAN	CANADA	CAN							
COP	POLICE						COP		
CVL	NEIGHBORHOOD						CVL		
CVL	COMMUNITY						CVL		
CVL	COMMUNITY						CVL		
DJI	DJIBOUTI	DJI							
DJI	DJIBOUTI	DJI							
DJI	DJIBOUTI	DJI							
EDU	SCHOOL						EDU		
EDU	SCHOOL						EDU		
EDU	STUDENT						EDU		
EDU	SCHOOL						EDU		
EDUEDU	SCHOOL						EDU	EDU	
ELI	ACTOR						ELI		
FRA	FRANCE	FRA							
FRA	FRENCH	FRA							
FRA	FRANCE	FRA							
GOV	PRESIDENT						GOV		
GOV	GOVERNMENT						GOV		
GOVMIL	DEFENSE MINIST						GOV	MIL	
HLH	HOSPITAL						HLH		
HLH	HOSPITAL						HLH		
HND	HONDURAN	HND							
ISR	ISRAEL	ISR							
ISR	ISRAELI	ISR							
ISR	ISRAELI	ISR							
ISR	ISRAEL	ISR							
ISRMIL	ISRAELI	ISR					MIL		
JOR	JORDAN	JOR							
JPN	JAPAN	JPN							
JUD	ATTORNEY						JUD		
MNCUSA	NETFLIX	USA					MNC		
MNCUSAMED	GOOGLE	USA					MNC	MED	
NZL	TASMAN	NZL							
RUS	RUSSIA	RUS							
RUS	RUSSIA	RUS							
SAU	SAUDI ARABIA	SAU							
SAU	SAUDI ARABIA	SAU							
SUR	SURINAME	SUR							
SUR	SURINAME	SUR							
USA	UNITED STATES	USA							
USA	AMERICAN	USA							
USA	UNITED STATES	USA							
AFGCHR	AFGHAN	AFG			CHR				
MED	PUBLICATION						MED		
UKR	UKRAINE	UKR							
UKR	UKRAINE	UKR							
UKR	UKRAINE	UKR							
AFG	AFGHANISTAN	AFG							
									
									
									
									
AZE	BAKU	AZE							
									
									
									
COP	POLICE						COP		
IDN	BALI	IDN							
SGP	SINGAPORE	SGP							
SGP	SINGAPORE	SGP							
ARM	YEREVAN	ARM							
NZL	NEW ZEALAND	NZL							
NZL	NEW ZEALAND	NZL							
NZL	NEW ZEALAND	NZL							
NZL	NEW ZEALAND	NZL							
NZL	NEW ZEALAND	NZL							
NZL	NEW ZEALAND	NZL							
USAMED	THE ASSOCIATED PRESS	USA					MED		
									
GBR	BRITISH	GBR							
GOV	GOVERNMENT						GOV		
									
									
									
									
									
									
									
									
									
									
									
CAN	CANADA	CAN							
CVL	RESIDENTS						CVL		
LAB	EMPLOYEE						LAB		
LAB	WORKER						LAB		
NMR	NORTH AMERICA	NMR							
NZL	NEW ZEALAND	NZL							
USA	UNITED STATES	USA							
									
BUS	INDUSTRY						BUS		
BUS	INDUSTRY						BUS		
EDU	UNIVERSITY						EDU		
NMR	NORTH AMERICA	NMR							
LAB	EMPLOYEE						LAB		
CHNGOV	CHINA	CHN					GOV		
CHNGOV	CHINA	CHN					GOV		
GOV	GOVERNMENT						GOV		
USA	ALASKA	USA							
COP	PRISON						COP		
USA	UNITED STATES	USA							
USA	UNITED STATES	USA							
USA	UNITED STATES	USA							
IGOJUDICC	INTERNATIONAL CRIMINAL COURT		ICC				IGO	JUD	
IGOJUDICC	INTERNATIONAL CRIMINAL COURT		ICC				IGO	JUD	
NLD	THE HAGUE	NLD							
									
									
									
									
									
									
									
GBR	UNITED KINGDOM	GBR							
HLH	HOSPITAL						HLH		
IND	BHARAT	IND							
NOR	BERGEN	NOR							
TCD	CHAD	TCD							
USACOP	AUSTIN	USA					COP		
BMULEG	BERMUDA	BMU					LEG		
COP	POLICE						COP		
									
									
									
									
									
									
									
									
									
									
									
USA	AMERICAN	USA							
									
NZL	NEW ZEALAND	NZL							
NZL	NEW ZEALAND	NZL							
NZL	NEW ZEALAND	NZL							
									
									
									
UKR	UKRAINE	UKR							
									
									
									
									
									
									
									
									
									
									
CAN	ONTARIO	CAN							
									
									
									
									
									
									
									
BUS	INDUSTRY						BUS		
									
									
									
GOV	GOVERNMENT						GOV		
IGOEUREEC	THE EU	EUR	EEC				IGO		
									
									
									
									
									
									
									
									
									
									
									
									
									
EDU	SCHOOL						EDU		
IND	BHARAT	IND							
IRL	IRELAND	IRL							
IRLEDU	IRELAND	IRL					EDU		
LAB	EMPLOYEE						LAB		
LAB	EMPLOYEE						LAB		
MED	WEBSITE						MED		
REB	REBEL GROUP						REB		
RWA	RWANDA	RWA							
SAUGOV	ABDULLAH	SAU					GOV		
UKR	UKRAINIAN	UKR							
									
SUR	SURINAME	SUR							
SUR	SURINAME	SUR							
									
									
									
									
CAN	CALGARY	CAN							
NZL	AUCKLAND	NZL							
HTIHLH	HAITI	HTI					HLH		
MCOELIHLH	ALBERT	MCO					ELI	HLH	
HTI	HAITI	HTI							
JAM	JAMAICA	JAM							
									
									
CHN	CHINA	CHN							
DEU	GERMAN	DEU							
DEU	GERMAN	DEU							
DEUMED	GERMAN	DEU					MED		
RUS	RUSSIA	RUS							
RUS	RUSSIA	RUS							
RUS	RUSSIA	RUS							
RUS	RUSSIA	RUS							
HTI	HAITIAN	HTI							
									
									
									
									
									
ISRMIL	ISRAEL	ISR					MIL		
ISRMIL	ISRAEL	ISR					MIL		
LEG	LAWMAKER						LEG		
PSE	PALESTINIAN	PSE							
									
ISR	ISRAEL	ISR							
ISR	ISRAELI	ISR							
ISR	ISRAELI	ISR							
ISR	ISRAEL	ISR							
LEG	LAWMAKER						LEG		
									
									
									
IGO	INTERNATIONAL MARITIME ORGANIZATION						IGO		
IGO	INTERNATIONAL MARITIME ORGANIZATION						IGO		
									
									
									
									
SLV	SANTA ANA	SLV							
									
									
CHE	SWITZERLAND	CHE							
GOV	PRESIDENT						GOV		
									
MED	CORRESPONDENT						MED		
									
CHN	CHINESE	CHN							
CHNGOV	CHINESE	CHN					GOV		
ISRMIL	ISRAELI	ISR					MIL		
ISRMIL	ISRAELI	ISR					MIL		
MOSEDU	ISLAMIC				MOS		EDU		
OPP	PROTESTER						OPP		
OPP	PROTESTER						OPP		
USA	UNITED STATES	USA							
HTI	HAITI	HTI							
									
AUS	TASMANIA	AUS							
COP	POLICE						COP		
									
									
									
									
CHN	CHINESE	CHN							
CHN	CHINESE	CHN							
CHNGOV	CHINESE	CHN					GOV		
LBN	TYRE	LBN							
LBN	TYRE	LBN							
NGA	NIGERIA	NGA							
NGA	NIGERIA	NGA							
SAUGOV	ABDULLAH	SAU					GOV		
EUR	EUROPEAN	EUR							
EUR	EUROPEAN	EUR							
									
									
									
									
									
LEG	DELEGATE						LEG		
LEG	DELEGATE						LEG		
RUS	RUSSIAN	RUS							
RUS	RUSSIAN	RUS							
RUSBUS	RUSSIAN	RUS					BUS		
RUSBUS	RUSSIA	RUS					BUS		
									
JUD	PROSECUTOR						JUD		
JUD	PROSECUTOR						JUD		
LBN	TYRE	LBN							
MED	CORRESPONDENT						MED		
BUS	COMPANY						BUS		
CAN	CANADA	CAN							
COP	POLICE FORCE						COP		
									
									
BUS	BUSINESS						BUS		
DEU	GERMAN	DEU							
DEUCVL	GERMANY	DEU					CVL		
DEUCVL	GERMAN	DEU					CVL		
HLH	HOSPITAL						HLH		
OPP	PROTESTER						OPP		
OMNCVL	OMAN	OMN					CVL		
TUR	TURKEY	TUR							
OMN	OMANI	OMN							
NZLJUD	AUCKLAND	NZL					JUD		
									
									
									
									
ISR	ISRAEL	ISR							
NGA	NIGERIA	NGA							
NGA	NIGERIA	NGA							
NGA	NIGERIA	NGA							
									
MWI	MALAWI	MWI							
MWI	MALAWI	MWI							
RUSBUS	RUSSIA	RUS					BUS		
RUSMIL	RUSSIA	RUS					MIL		
									
MWI	MALAWI	MWI							
MWI	MALAWI	MWI							
									
									
SAUGOV	SAUDI ARABIA	SAU					GOV		
									
GOV	MINIST FOR FOREIGN						GOV		
MLT	MALTA	MLT							
CHN	CHINESE	CHN							
CHNEDU	CHINESE	CHN					EDU		
AUS	AUSTRALIA	AUS							
AUS	AUSTRALIA	AUS							
COP	PRISON						COP		
									
									
GUY	GUYANA	GUY							
GUY	GUYANESE	GUY							
									
SYRREF	SYRIA	SYR					REF		
									
									
									
ARM	ARMENIA	ARM							
TUR	TURKEY	TUR							
TUR	TURKEY	TUR							
									
									
AFG	AFGHANISTAN	AFG							
AFG	AFGHANISTAN	AFG							
AFG	AFGHANISTAN	AFG							
DJI	DJIBOUTI	DJI							
DJI	DJIBOUTI	DJI							
RUS	RUSSIA	RUS							
RUS	RUSSIAN	RUS							
RUS	RUSSIA	RUS							
RUS	RUSSIAN	RUS							
UKR	UKRAINIAN	UKR							
UKR	UKRAINE	UKR							
									
									
									
									
									
									
									
									
									
BUS	COMPANY						BUS		
BUS	COMPANY						BUS		
CHN	CHINA	CHN							
CHN	CHINA	CHN							
COP	POLICE						COP		
CRM	CARTEL						CRM		
CUB	CUBA	CUB							
CVL	IMMIGRANT						CVL		
EDU	SCHOOL						EDU		
FRA	FRANCE	FRA							
GOV	CHIEF EXECUTIVE						GOV		
ISR	ISRAEL	ISR							
ISR	ISRAEL	ISR							
LAB	EMPLOYEE						LAB		
LEG	CONGRESS						LEG		
LEG	CONGRESS						LEG		
MED	MEDIA						MED		
USALEG	UNITED STATES	USA					LEG		
NGAREL	NIGERIAN	NGA							
MED	PUBLICATION						MED		
									
USA	UNITED STATES	USA							
USA	UNITED STATES	USA							
USAGOV	JOE BIDEN	USA					GOV		
									
CHN	CHINA	CHN							
COP	PRISON						COP		
JEW	JEWISH				JEW				
ISR	ISRAEL	ISR							
									
ISR	ISRAEL	ISR							
IDNGOV	INDONESIA	IDN					GOV		
CHNGOV	CHINA	CHN					GOV		
									
USA	UNITED STATES	USA							
REB	REBEL GROUP						REB		
REB	REBEL GROUP						REB		
USACOP	UNITED STATES	USA					COP		
									
JUD	JUDICIARY						JUD		
BEL	BELGIUM	BEL							
BUS	BUSINESS						BUS		
BUS	BUSINESS						BUS		
CAN	CANADA	CAN							
CAN	OTTAWA	CAN							
CANGOVHLH	CANADA	CAN					GOV	HLH	
COP	POLICE						COP		
COP	POLICE						COP		
CVL	POPULATION						CVL		
CVL	POPULATION						CVL		
CVL	SETTLEMENT						CVL		
CVL	COMMUNITY						CVL		
CVL	POPULATION						CVL		
CVL	RESIDENTS						CVL		
CVL	RESIDENTS						CVL		
DEU	GERMAN	DEU							
DEU	GERMANY	DEU							
EDU	STUDENT						EDU		
EDU	SCHOOL						EDU		
EDU	SCHOOL						EDU		
ESP	SPAIN	ESP							
FRA	FRENCH	FRA							
GBR	UNITED KINGDOM	GBR							
GBR	UNITED KINGDOM	GBR							
GOV	AUTHORITIES						GOV		
GOVHLH	HEALTH MINIST						GOV	HLH	
GRC	GREEK	GRC							
GUY	GUYANESE	GUY							
HLH	HOSPITAL						HLH		
IRL	IRELAND	IRL							
JPNCVL	JAPANESE	JPN					CVL		
JPNCVL	JAPAN	JPN					CVL		
JUD	COUNSEL						JUD		
JUD	DEFENSE ATTORNEY						JUD		
LEG	CONGRESS						LEG		
LEG	CONGRESS						LEG		
MED	JOURNALIST						MED		
MED	WEBSITE						MED		
MED	JOURNALIST						MED		
