Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code
AFGCHR	AFGHAN	AFG			CHR				
ARM	YEREVAN	ARM							
AZE	BAKU	AZE							
BMU	BERMUDIAN	BMU							
DEUCVL	GERMANY	DEU					CVL		
GOV	MINIST FOR FOREIGN						GOV		
HTIHLH	HAITI	HTI					HLH		
MCOELIHLH	ALBERT	MCO					ELI	HLH	
MNCUSA	FEDEX CORPORATION	USA					MNC		
NOR	BERGEN	NOR							
NZL	TASMAN	NZL							
USACOP	NEW YORK	USA					COP		
USACVL	CENTER FOR SECURITY POLICY	USA					CVL		
USACOP	HOUSTON	USA					COP		
ARG	ROSARIO	ARG							
AUSJUD	AUSTRALIA	AUS					JUD		
CANGOVHLH	CANADA	CAN					GOV	HLH	
COGGOVBUS	CONGO	COG					GOV	BUS	
DEUCOP	GERMANY	DEU					COP		
ELICOP	RETIRED						ELI	COP	
MDVOPP	MALE	MDV					OPP		
MILUAF	MARINES						MIL	UAF	
TWNELI	TAIWAN	TWN					ELI		
UGAOPP	UGANDA	UGA					OPP		
USA	KANSAS CITY	USA							
USA	UTAH	USA							
USACHRPRO	LOS ANGELES	USA			CHR	PRO			
USAEDU	DENVER	USA					EDU		
fan	FANG			fan					
CANCVL	CANADIAN	CAN					CVL		
CODGOVBUS	DEMOCRATIC REPUBLIC OF THE CONGO	COD					GOV	BUS	
EDUCVL	UNIVERSITY						EDU	CVL	
EDUGOVEDU	SCHOOL						EDU	GOV	EDU
FINGOVMIL	FINNISH	FIN					GOV	MIL	
GOVMIL	NATIONAL SECURITY ADVISER						GOV	MIL	
LCAGOV	STEPHENSON	LCA					GOV		
MIL	NATIONAL GUARD						MIL		
MNCUSA	UNION PACIFIC	USA					MNC		
NGOUSA	CARNEGIE ENDOWMENT FOR INTERNATIONAL PEACE	USA					NGO		
REL	CLERIC								
RUS	RYAZAN	RUS							
USA	VERMONT	USA							
USAJUD	ATLANTA	USA					JUD		
ZAF	NORTHERN CAPE	ZAF							
BEL	GHENT	BEL							
CANBUS	EDMONTON	CAN					BUS		
CANGOV	CANADIAN	CAN					GOV		
GBRMED	BRITISH	GBR					MED		
GHA	KUMASI	GHA							
JUDJUD	FEDERAL COURT						JUD	JUD	
MNCUSAHLHMED	ELI LILLY	USA					MNC	HLH	MED
ROUCVL	ROMANIAN						CVL		
TWNCVL	TAIWAN	TWN					CVL		
USAGOV	VIRGINIA BEACH	USA					GOV		
YEM	SANAA	YEM							
tts	TUTSI			tts					
AUSGOV	PENNY WONG	AUS					GOV		
BHRCVL	BAHRAINI	BHR					CVL		
CHECVL	SWITZERLAND	CHE					CVL		
CODOPP	CONGOLESE	COD					OPP		
DEUMED	GERMANY	DEU					MED		
ETHHLH	ETHIOPIA	ETH					HLH		
GOV	POLITBURO MEMBER						GOV		
MEXCVL	MEXICAN	MEX					CVL		
NGACVL	NIGERIA	NGA					CVL		
USA	DELAWARE	USA							
ARG	ACONCAGUA	ARG							
ATGJUD	ANTIGUA AND BARBUDA	ATG					JUD		
BLZMIL	BELIZE	BLZ					MIL		
BRA	BRAZILIAN	BRA							
BUS	STEELWORKER						BUS		
CAN	MANITOBA	CAN							
CRM	ILLEGAL IMMIGRANT						CRM		
CVLBUS	HUNTER						CVL	BUS	
EDULAB	COLLEGE						EDU	LAB	
FRAJUD	FRANCE	FRA					JUD		
GOV	MINIST OF WORKS						GOV		
MDVCVL	MALE	MDV					CVL		
NGAJUD	NIGERIA	NGA					JUD		
NPL	NEPALESE	NPL							
CVLUAF	THE POOR						CVL	UAF	
GOVLAB	LABOUR MINIST						GOV	LAB	
GRDMIL	GRENADA	GRD					MIL		
MED	RADIO STATION						MED		
POLGOV	WARSAW	POL					GOV		
RUSUAF	RUSSIAN	RUS					UAF		
USA	OKLAHOMA	USA							
USAEDU	IDAHO	USA					EDU		
VENLEG	VENEZUELA	VEN					LEG		
USAGOV	LAWRENCE	USA					GOV		
BRA	PURUS	BRA							
CHRPRO	EPISCOPAL				CHR	PRO			
EDUCRM	SCHOOL						EDU	CRM	
GOV	CIVIL SERVICE						GOV		
IDN	BALI	IDN							
MILEDU	MILITARY						MIL	EDU	
PAKMED	PAKISTANI	PAK					MED		
PSEGOV	WEST BANK	PSE					GOV		
USA	KENTUCKY	USA							
USA	MONTANA	USA							
TURLAB	ANTIOCH	TUR					LAB		
GBR	GREAT BRITAIN	GBR							
GOV	STATE MINIST						GOV		
ITA	TIVOLI	ITA							
LKAJUD	SRI LANKAN	LKA					JUD		
NPLCVL	NEPAL	NPL					CVL		
PANGOV	PANAMA	PAN					GOV		
SVK	SLOVAKIAN	SVK							
USA	CONNECTICUT	USA							
USACHRPRO	THE US	USA			CHR	PRO			
USACVL	LOUISVILLE	USA					CVL		
AUSEDU	VICTORIA	AUS					EDU		
CMRGOV	CAMEROON	CMR					GOV		
IRNJUD	IRAN	IRN					JUD		
NERMIL	NIGER	NER					MIL		
NGA	NIGER DELTA	NGA							
PAKCOP	PAKISTAN	PAK					COP		
SEP	SEPARATIST						SEP		
CANLEG	ALBERTA	CAN					LEG		
CHN	WUHAN	CHN							
CRM	BUCCANEER						CRM		
FINGOV	FINNISH	FIN					GOV		
HTICVL	HAITI	HTI					CVL		
PRK	N. KOREA	PRK							
REF	EXPATRIATE						REF		
CRM	BROTHEL						CRM		
SGPMED	SINGAPORE	SGP					MED		
tms	TAMA			tms					
LABLAB	EMPLOYEE						LAB	LAB	
CANCOP	ALBERTA	CAN					COP		
COPSPY	POLICE						COP	SPY	
CRM	DRUG PUSHER						CRM		
GOVAGRGOVCOP	DEPARTMENT OF AGRICULTURE						GOV	AGR	GOV
MIL	COAST GUARD						MIL		
NZL	TARANAKI	NZL							
USAJUD	THE US	USA					JUD		
GOV	MINIST FOR PETROLEUM						GOV		
JPNGOVAGR	JAPAN	JPN					GOV	AGR	
MLIMED	MALIAN	MLI					MED		
OPP	POLITICAL PRISONER						OPP		
USA	DAKOTA	USA							
BUS	CEOS						BUS		
CANEDU	ONTARIO	CAN					EDU		
HLH	CASEWORKER						HLH		
JAMJUD	JAMAICA	JAM					JUD		
KENBUS	KENYA	KEN					BUS		
KORBUS	SOUTH KOREAN	KOR					BUS		
MNCARG	MERCADOLIBRE	ARG					MNC		
MNCCHE	ABB LTD	CHE					MNC		
ZAFELIGOV	THABO MBEKI	ZAF					ELI	GOV	
COP	STATE PRISON						COP		
CHN	PEARL RIVER	CHN							
MED	TABLOID						MED		
SGPBUS	SINGAPORE	SGP					BUS		
SOM	MOGADISHU	SOM							
AUSBUS	AUSTRALIA	AUS					BUS		
IRLGOV	IRISH	IRL					GOV		
JPN	TOKYO	JPN							
NLDMIL	DUTCH	NLD					MIL		
TONGOV	TONGAN	TON					GOV		
TTOLEG	TOBAGO	TTO					LEG		
USACVL	UNIVERSITY PARK	USA					CVL		
ZAFCOP	MPUMALANGA	ZAF					COP		
GOV	TOURISM DEPARTMENT						GOV		
GUYGOV	GAIL TEIXEIRA	GUY					GOV		
MNCCAN	TIM HORTONS	CAN					MNC		
CANGOV	JASON KENNEY	CAN					GOV		
COD	CONGOLESE	COD							
ESP	TOLEDO	ESP							
GOV	BUREAUCRACY						GOV		
CRMJUD	CRIMINAL						CRM	JUD	
ESPGOV	SPANISH	ESP					GOV		
MIL	SPECIAL FORCES						MIL		
MILMIL	COMMANDER						MIL	MIL	
MNCMYSELI	PETRONAS	MYS					MNC	ELI	
PAK	PESHAWAR	PAK							
CAN	VANCOUVER	CAN							
GBRGOVMIL	UNITED KINGDOM	GBR					GOV	MIL	
IND	BHUBANESWAR	IND							
MEX	CIUDAD JUAREZ	MEX							
MEXGOV	MEXICO	MEX					GOV		
USACOP	NEW ORLEANS	USA					COP		
ZWEGOVMED	ZIMBABWE	ZWE					GOV	MED	
AGRCOP	FISHER						AGR	COP	
GBRGOV	BIRMINGHAM	GBR					GOV		
GOV	MINIST OF LAW						GOV		
IDNCRM	INDONESIA	IDN					CRM		
IND	MUMBAI	IND							
INDGOV	ASSAM	IND					GOV		
KWTGOVHLH	KUWAITI	KWT					GOV	HLH	
PSEGOV	PALESTINE	PSE					GOV		
USA	RALEIGH	USA							
BGREDU	BULGARIAN	BGR					EDU		
KWTMED	KUWAIT	KWT					MED		
MNGGOV	MONGOLIAN	MNG					GOV		
BGDJUD	BANGLADESH	BGD					JUD		
BUS	CORPORATE EXECUTIVE						BUS		
GOV	EXTERNAL AFFAIRS MINIST						GOV		
HLH	HEALTH FACILITY						HLH		
JUDJUD	HIGH COURT						JUD	JUD	
MNCJPN	SUMITOMO MITSUI	JPN					MNC		
OPPCVL	MAIN OPPOSITION						OPP	CVL	
CZESPY	CZECH REPUBLIC	CZE					SPY		
JUDJUD	MAGISTRATE						JUD	JUD	
KHM	KOH KONG	KHM							
LEGJUD	CONGRESSWOMAN						LEG	JUD	
PAKGOVBUS	PAKISTAN	PAK					GOV	BUS	
SDN	SUDANESE	SDN							
SDNGOV	SUDANESE	SDN					GOV		
SDNMIL	SUDAN	SDN					MIL		
UAF	COMBATANT						UAF		
BUSBUS	AEROSPACE						BUS	BUS	
GBREDU	LONDON	GBR					EDU		
HTIELI	HAITIAN	HTI					ELI		
INDGOVHLH	TAMIL NADU	IND					GOV	HLH	
MIL	JUNTA TROOPS						MIL		
MMRMIL	MYANMAR	MMR					MIL		
MOSJUD	ISLAM				MOS		JUD		
REF	DISPLACED PERSON						REF		
SCGSRBLEG	SERBIA	SRB					LEG		
USA	LAST FRONTIER	USA							
SEN	SENEGALESE	SEN							
SENGOV	SENEGALESE	SEN					GOV		
AUSEDU	QUEENSLAND	AUS					EDU		
BHS	NASSAU	BHS							
CRM	CULPRIT						CRM		
ISR	JAFFA	ISR							
ISRMED	ISRAELI	ISR					MED		
LBRLEG	LIBERIA	LBR					LEG		
OPP	SOCIAL REFORMER						OPP		
POLMIL	POLAND	POL					MIL		
POLMIL	POLISH	POL					MIL		
nagREB	NAGA			nag			REB		
AUSLEG	VICTORIA	AUS					LEG		
CAN	YUKON	CAN							
DEUJUD	GERMANY	DEU					JUD		
GOVEDU	EDUCATION OFFICIAL						GOV	EDU	
GRC	THESSALONIKI	GRC							
INDCOP	VIJAYAWADA	IND					COP		
ISRUAF	ISRAELI	ISR					UAF		
PHLELI	PHILIPPINE	PHL					ELI		
BUDMLN010	ALEPH				BUD				
DEU	MANNHEIM	DEU							
IRNGOV	MAHMOUD AHMADINEJAD	IRN					GOV		
MDVMIL	MALE	MDV					MIL		
NGOUSA	GATES FOUNDATION	USA					NGO		
SOMREF	SOMALI	SOM					REF		
SOMREF	SOMALIA	SOM					REF		
ZAF	WESTERN CAPE	ZAF							
AUSGOVHLH	AUSTRALIA	AUS					GOV	HLH	
IGOUNO	UNSC		UNO				IGO		
MED	NATIONAL PRESS						MED		
MYS	TERENGGANU	MYS							
UAF	MERCENARIES						UAF		
AFGCOP	AFGHAN	AFG					COP		
DEU	MUNICH	DEU							
EURGOV	EUROPEAN	EUR					GOV		
KOR	SEOUL	KOR							
PTY	PARTY MEMBER								
TKM	TURKMEN	TKM							
UIS	MEMBER NATION						UIS		
USAEDU	PENNSYLVANIA	USA					EDU		
VCT	KINGSTOWN	VCT							
chyGOV	CHEYENNE			chy			GOV		
hutRAD	HUTU			hut			RAD		
PAN	PANAMANIAN	PAN							
CVL	ETHNIC GROUP						CVL		
MNC	BUILD A BEAR WORKSHOP						MNC		
USACOP	DETROIT	USA					COP		
BRABUS	BRAZIL	BRA					BUS		
HRIHLH	RIGHTS GROUP						HRI	HLH	
LUXBUS	LUXEMBOURG	LUX					BUS		
USAGOV	TAMPA	USA					GOV		
IGOBUSGOE	GROUP OF EIGHT		GOE				IGO	BUS	
IND	MEGHALAYA	IND							
INDGOV	JAMMU AND KASHMIR	IND					GOV		
MDG	MADAGASCAR	MDG							
MNCSEABUS	AIRASIA	SEA					MNC	BUS	
MYSCVL	SABAH	MYS					CVL		
RUS	VLADIMIR	RUS							
SENEDU	SENEGAL	SEN					EDU		
VNMBUS	VIETNAM	VNM					BUS		
YEM	SANA	YEM							
ZAFMIL	LIMPOPO	ZAF					MIL		
AZEGOVHLH	AZERBAIJAN	AZE					GOV	HLH	
CHRREF	CHRISTIAN				CHR		REF		
COPBUS	DEPUTY						COP	BUS	
CRM	ILLEGAL MIGRANT						CRM		
DZAGOV	ALGERIA	DZA					GOV		
GBRAGR	UNITED KINGDOM	GBR					AGR		
GBRGIBGOV	GIBRALTAR	GBR					GOV		
GBRREL	UNITED KINGDOM	GBR							
GOV	ENERGY MINIST						GOV		
IDNCVL	INDONESIA	IDN					CVL		
IGOEURSCE	OSCE	EUR	SCE				IGO		
MAR	CASABLANCA	MAR							
RUSSPY	RUSSIAN	RUS					SPY		
ZMBGOV	ZAMBIA	ZMB					GOV		
CODGOV	DEMOCRATIC REPUBLIC OF CONGO	COD					GOV		
BOL	SANTA CRUZ	BOL							
CHEGOVMED	SWITZERLAND	CHE					GOV	MED	
GOV	HIGH COMMISSION						GOV		
GOV	INTERIOR SECRETARY						GOV		
IGOEAFDEVIAD	INTERGOVERNMENTAL AUTHORITY ON DEVELOPMENT	EAF	IAD				IGO	DEV	
MMRMED	MYANMAR	MMR					MED		
USAGOVHRI	WASHINGTON	USA					GOV	HRI	
USAGUM	GUAMANIAN	USA							
USAGUMCOP	GUAM	USA					COP		
ESP	MADRID	ESP							
